"Species","Region","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"Adelie ","Anvers","Torgersen",43,18.7,181,3750,"MALE"
"Adelie ","Anvers","Torgersen",52,18,195,3250,"FEMALE"
"Adelie ","Anvers","Torgersen",23,19.3,193,3450,"FEMALE"
"Adelie ","Anvers","Torgersen",45,20.6,190,3650,"MALE"
"Adelie ","Anvers","Torgersen",41,17.8,181,3625,"FEMALE"
"Adelie ","Anvers","Torgersen",44,19.6,195,4675,"MALE"
"Adelie ","Anvers","Torgersen",5,18.1,193,3475,NA
"Adelie ","Anvers","Torgersen",66,20.2,190,4250,NA
"Adelie ","Anvers","Torgersen",32,17.1,186,3300,NA
"Adelie ","Anvers","Torgersen",32,17.3,180,3700,NA
"Adelie ","Anvers","Torgersen",59,17.6,182,3200,"FEMALE"
"Adelie ","Anvers","Torgersen",38,21.2,191,3800,"MALE"
"Adelie ","Anvers","Torgersen",8,21.1,198,4400,"MALE"
"Adelie ","Anvers","Torgersen",22,17.8,185,3700,"FEMALE"
"Adelie ","Anvers","Torgersen",39,19,195,3450,"FEMALE"
"Adelie ","Anvers","Torgersen",70,20.7,197,4500,"MALE"
"Adelie ","Anvers","Torgersen",6,18.4,184,3325,"FEMALE"
"Adelie ","Anvers","Torgersen",96,21.5,194,4200,"MALE"
"Adelie ","Anvers","Biscoe",32,18.3,174,3400,"FEMALE"
"Adelie ","Anvers","Biscoe",31,18.7,180,3600,"MALE"
"Adelie ","Anvers","Biscoe",16,19.2,189,3800,"FEMALE"
"Adelie ","Anvers","Biscoe",35,18.1,185,3950,"MALE"
"Adelie ","Anvers","Biscoe",40,17.2,180,3800,"MALE"
"Adelie ","Anvers","Biscoe",12,18.9,187,3800,"FEMALE"
"Adelie ","Anvers","Biscoe",54,18.6,183,3550,"MALE"
"Adelie ","Anvers","Biscoe",53,17.9,187,3200,"FEMALE"
"Adelie ","Anvers","Biscoe",53,18.9,180,3950,"MALE"
"Adelie ","Anvers","Dream",46,16.7,178,3250,"FEMALE"
"Adelie ","Anvers","Dream",27,18.1,178,3900,"MALE"
"Adelie ","Anvers","Dream",46,17.8,188,3300,"FEMALE"
"Adelie ","Anvers","Dream",57,18.9,184,3900,"MALE"
"Adelie ","Anvers","Dream",20,17,195,3325,"FEMALE"
"Adelie ","Anvers","Dream",44,21.1,196,4150,"MALE"
"Adelie ","Anvers","Dream",40,20,190,3950,"MALE"
"Adelie ","Anvers","Dream",68,18.5,180,3550,"FEMALE"
"Adelie ","Anvers","Dream",30,19.3,181,3300,"FEMALE"
"Adelie ","Anvers","Dream",49,19.1,184,4650,"MALE"
"Adelie ","Anvers","Dream",21,18,182,3150,"FEMALE"
"Adelie ","Anvers","Dream",56,18.4,195,3900,"MALE"
"Adelie ","Anvers","Dream",17,18.5,186,3100,"FEMALE"
"Adelie ","Anvers","Dream",82,19.7,196,4400,"MALE"
"Adelie ","Anvers","Dream",26,16.9,185,3000,"FEMALE"
"Adelie ","Anvers","Dream",47,18.8,190,4600,"MALE"
"Adelie ","Anvers","Dream",59,19,182,3425,"MALE"
"Adelie ","Anvers","Dream",29,18.9,179,2975,NA
"Adelie ","Anvers","Dream",17,17.9,190,3450,"FEMALE"
"Adelie ","Anvers","Dream",163,21.2,191,4150,"MALE"
"Adelie ","Anvers","Biscoe",47,17.7,186,3500,"FEMALE"
"Adelie ","Anvers","Biscoe",50,18.9,188,4300,"MALE"
"Adelie ","Anvers","Biscoe",9,17.9,190,3450,"FEMALE"
"Adelie ","Anvers","Biscoe",66,19.5,200,4050,"MALE"
"Adelie ","Anvers","Biscoe",7,18.1,187,2900,"FEMALE"
"Adelie ","Anvers","Biscoe",61,18.6,191,3700,"MALE"
"Adelie ","Anvers","Biscoe",42,17.5,186,3550,"FEMALE"
"Adelie ","Anvers","Biscoe",54,18.8,193,3800,"MALE"
"Adelie ","Anvers","Biscoe",21,16.6,181,2850,"FEMALE"
"Adelie ","Anvers","Biscoe",30,19.1,194,3750,"MALE"
"Adelie ","Anvers","Biscoe",15,16.9,185,3150,"FEMALE"
"Adelie ","Anvers","Biscoe",60,21.1,195,4400,"MALE"
"Adelie ","Anvers","Biscoe",30,17,185,3600,"FEMALE"
"Adelie ","Anvers","Biscoe",59,18.2,192,4050,"MALE"
"Adelie ","Anvers","Biscoe",20,17.1,184,2850,"FEMALE"
